Case ID,Activity Name,Start Time,End Time
1,Login,2025-05-01 08:00:00,2025-05-01 08:05:00
1,Browse,2025-05-01 08:05:00,2025-05-01 08:20:00
1,Purchase,2025-05-01 08:20:00,2025-05-01 08:25:00
1,Logout,2025-05-01 08:25:00,2025-05-01 08:26:00
2,Login,2025-05-01 09:00:00,2025-05-01 09:03:00
2,Browse,2025-05-01 09:03:00,2025-05-01 09:15:00
2,AddToCart,2025-05-01 09:15:00,2025-05-01 09:18:00
2,Purchase,2025-05-01 09:18:00,2025-05-01 09:25:00
2,Logout,2025-05-01 09:25:00,2025-05-01 09:26:00
3,Login,2025-05-01 10:00:00,2025-05-01 10:02:00
3,Search,2025-05-01 10:02:00,2025-05-01 10:10:00
3,Browse,2025-05-01 10:10:00,2025-05-01 10:20:00
3,AddToCart,2025-05-01 10:20:00,2025-05-01 10:25:00
3,Purchase,2025-05-01 10:25:00,2025-05-01 10:30:00
3,Logout,2025-05-01 10:30:00,2025-05-01 10:31:00
4,Login,2025-05-01 11:00:00,2025-05-01 11:02:00
4,Browse,2025-05-01 11:02:00,2025-05-01 11:12:00
4,Search,2025-05-01 11:12:00,2025-05-01 11:18:00
4,Browse,2025-05-01 11:18:00,2025-05-01 11:25:00
4,Logout,2025-05-01 11:25:00,2025-05-01 11:26:00
5,Login,2025-05-01 12:00:00,2025-05-01 12:04:00
5,Browse,2025-05-01 12:04:00,2025-05-01 12:14:00
5,AddToCart,2025-05-01 12:14:00,2025-05-01 12:17:00
5,Browse,2025-05-01 12:17:00,2025-05-01 12:20:00
5,Purchase,2025-05-01 12:20:00,2025-05-01 12:23:00
5,Logout,2025-05-01 12:23:00,2025-05-01 12:24:00

